time,value
1698311926.723697,0.24
1698311940.1719308,1.64
1698311952.6862223,3.64
1698311967.0125308,3.68
1698311984.288622,3.36
1698311996.741699,4.4
1698312009.515799,4.24
1698312021.9852755,4.24
1698312035.448271,4.16
1698312047.9066505,3.68
1698312060.4287457,4.08
1698312074.4657152,4.08
1698312090.4832628,4.2
1698312104.3910184,3.84
1698312117.2329655,3.68
1698312377.4977293,3.28
1698312400.8237703,2.44
1698312421.0733643,1.16
1698312478.511572,1.16
1698312504.0547104,3.16
1698312532.4347641,4.48
1698312659.7660284,3.88
1698312852.9723005,3.12
1698313299.5090942,2.36
1698313842.4800282,2.88
1698314272.4045978,3.24
1698314325.8810513,3.0
1698314358.8932407,2.44
1698314385.1063333,2.36
1698314457.5768833,1.32
1698314669.543471,4.28
1698314692.0580661,4.48
1698314715.3558323,4.2
1698314802.1910913,3.6
1698314844.9153142,1.8
1698314888.8317678,4.76
1698314901.8640492,4.44
1698314914.4076846,2.16
1698314946.4356308,0.4
1698314959.6951215,0.4
