time,value
1696500332.9870644,7.05
1696500336.328561,8.1
1696500339.6816683,8.1
1696500343.019609,7.199999999999999
1696500346.570085,5.85
1696500349.9010496,6.1499999999999995
1696500353.5417788,5.85
1696500356.975212,6.3
1696500360.3538077,7.6499999999999995
1696500363.6695838,6.8999999999999995
1696500366.9741294,7.5
1696500388.6327267,7.05
1696500391.9509177,7.05
1696500395.2656028,8.25
1696500398.6262338,7.949999999999999
1696500401.933612,6.8999999999999995
1696500405.2794101,7.35
1696500408.5974572,6.0
1696500411.931948,5.55
1696500415.2654853,7.199999999999999
1696500418.594343,6.6
1696500421.9178104,4.35
1696500431.897778,3.4499999999999997
1696500435.2072432,4.95
1696500438.5415504,6.75
1696500441.8698378,5.55
1696500445.205097,4.5
1696500450.464407,7.05
1696500453.7921472,7.05
1696500457.1619654,5.55
1696500460.480235,4.95
1696500463.7978961,4.05
1696500467.1172376,4.5
1696500470.4738839,5.25
1696500473.8083217,7.199999999999999
1696500477.1117208,7.35
1696500480.473489,6.6
1696500483.826425,7.05
1696500487.139845,7.05
1696500490.463267,7.05
1696500493.807795,8.7
1696500502.080016,7.949999999999999
1696500505.4219933,7.05
1696500508.7349622,5.85
1696500512.8811667,5.1
1696500516.1930654,5.1
1696500519.5288572,6.0
1696500522.8668847,8.25
1696500526.198788,7.5
1696500529.514457,6.75
1696500532.8520033,6.1499999999999995
1696500536.1876187,4.95
1696500540.6684268,4.2
1696500544.0100267,3.9
1696500549.4410808,2.85
1696500561.388572,1.95
1696500564.988467,4.8
1696500568.3665328,7.8
1696500571.6414914,7.949999999999999
1696500574.9651585,7.05
1696500578.2835603,5.85
1696500581.6112506,4.8
1696500584.945969,6.75
1696500588.2560318,7.5
1696500591.5954194,5.1
1696500594.9097886,3.75
1696500598.23911,4.5
1696500601.557978,5.85
1696500604.8902252,5.25
1696500608.2240696,6.1499999999999995
1696500611.5487735,7.35
1696500615.2479606,6.6
1696500618.5569956,5.55
1696500621.8809628,4.35
1696500625.215065,4.95
1696500628.5365548,3.0
1696500631.8719928,1.7999999999999998
1696500635.201359,4.2
1696500638.5326087,7.05
1696500643.603754,6.75
1696500648.308744,6.75
1696500653.1756787,6.3
1696500656.4958162,4.2
1696500659.8327713,2.85
1696500667.897895,1.65
1696500752.675503,0.0
1696500752.7116795,0.0
1696500753.7601638,0.44999999999999996
1696500757.0903466,5.3999999999999995
1696500760.4158583,9.299999999999999
1696500763.7467902,8.7
1696500767.0751102,8.85
1696500770.413837,9.6
1696500774.0238,7.6499999999999995
1696500777.4200919,3.9
1696500780.7647178,3.3
1696500784.0599763,4.2
1696500788.5788596,4.2
1696500793.6003814,4.2
1696500796.9102345,4.5
1696500800.2389333,4.8
1696500805.186506,4.05
1696500808.5174196,4.8
1696500813.1530821,5.7
1696500816.4675972,4.35
1696500824.8963692,3.75
1696500828.2324245,1.65
1696500831.5397274,3.3
1696500834.8751523,2.6999999999999997
1696500838.1909516,3.15
